Name,Code,Longitude,Latitude,KECAMATAN,KODE POS,FINAL CYCLE
Store 00001,C100304738,112.661064,-7.975071,PAKIS,SEKARPURO - 65154,Biweekly
Store 00002,C100318693,112.661087,-7.974901,PAKIS,SEKARPURO - 65154,Monthly
Store 00003,C100316963,112.660344,-7.983997,PAKIS,SEKARPURO - 65154,Biweekly
Store 00004,C100323237,112.65845,-7.9846,PAKIS,SEKARPURO - 65154,Weekly
Store 00005,C100327784,112.65369,-7.9782,PAKIS,SEKARPURO - 65154,Monthly
Store 00006,C100327782,112.65287,-7.977889,PAKIS,SEKARPURO - 65154,Monthly
Store 00007,C100341703,112.665891,-7.97464,PAKIS,SEKARPURO - 65154,Weekly
Store 00008,C100311915,112.679875,-7.977869,PAKIS,SEKARPURO - 65154,Biweekly
Store 00009,C100092170,112.66763027,-7.96882232,PAKIS,MANGLIAWAN - 65154,Monthly
Store 00010,C100164943,112.668893,-7.9652935,PAKIS,SEKARPURO - 65154,Monthly
Store 00011,C100167104,112.66469,-7.968502,PAKIS,MANGLIAWAN - 65154,Biweekly
Store 00012,C100053117,112.66996282,-7.96823053,PAKIS,SEKARPURO - 65154,Biweekly
Store 00013,C100377968,112.64,-7.98787,BLIMBING,JODIPAN - 65137,Weekly
Store 00014,C100367819,112.647,-7.98731,BLIMBING,POLEHAN - 65121,Monthly
Store 00015,C100122384,112.56045174,-8.09621907,NGAJUNG,NGASEM - 65164,Monthly
Store 00016,C100245129,112.56813225,-8.09176632,NGAJUNG,NGASEM - 65164,Monthly
Store 00017,C000504383,112.567706,-8.09514,NGAJUNG,BANJARSARI - 65164,Weekly
Store 00018,C000535266,112.553659,-8.117811,NGAJUNG,PALAAN - 65164,Monthly
Store 00019,C100389022,112.540476,-8.092642,NGAJUNG,NGAJUM - 65164,Biweekly
Store 00020,C100304514,112.537825,-8.098242,NGAJUNG,NGAJUM - 65164,Monthly
Store 00021,C000504356,112.53471,-8.104047,NGAJUNG,NGAJUM - 65164,Biweekly
Store 00022,C100304513,112.5367052,-8.097406,NGAJUNG,NGAJUM - 65164,Monthly
Store 00023,C000526968,112.537522,-8.096446,NGAJUNG,NGAJUM - 65164,Weekly
Store 00024,C000526965,112.537743,-8.095011,NGAJUNG,NGAJUM - 65164,Weekly
Store 00025,C000199441,112.547718,-8.099297,NGAJUNG,PALAAN - 65164,Monthly
Store 00026,C000199325,112.551635,-8.113972,NGAJUNG,PALAAN - 65164,Biweekly
Store 00027,C000199264,112.547906,-8.099661,NGAJUNG,PALAAN - 65164,Monthly
Store 00028,C000199241,112.547838,-8.099669,NGAJUNG,PALAAN - 65164,Monthly
Store 00029,C000199213,112.554023,-8.119902,NGAJUNG,PALAAN - 65164,Monthly
Store 00030,C100158886,112.62783458,-8.24124092,GEDANGAN,SEGARAN - 65178,Biweekly
Store 00031,C000197765,112.627266,-8.240262,GEDANGAN,SUMBEREJO - 65178,Biweekly
Store 00032,C100390312,112.635823333333,-8.24288333333333,GEDANGAN,SEGARAN - 65178,Biweekly
Store 00033,C000197764,112.629709,-8.242112,GEDANGAN,SEGARAN - 65178,Biweekly
Store 00034,C000197766,112.611579,-8.23781,GEDANGAN,SUMBEREJO - 65178,Biweekly
Store 00035,C000197485,112.616973,-8.239036,GEDANGAN,SUMBEREJO - 65178,Biweekly
Store 00036,C100387612,112.658276666666,-8.30239666666666,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00037,C100282185,112.658299,-8.302095,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00038,C100316962,112.654341,-8.295665,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00039,C000197774,112.653832,-8.297232,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00040,C100164130,112.657259,-8.306472,GEDANGAN,GEDANGAN - 65178,Weekly
Store 00041,C000197769,112.657439,-8.303843,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00042,C100390378,112.65659,-8.31303333333333,GEDANGAN,GEDANGAN - 65178,Monthly
Store 00043,C000197282,112.657545,-8.303308,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00044,C000197281,112.657327,-8.303635,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00045,C000197287,112.65874,-8.300692,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00046,C000197347,112.655971,-8.30163,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00047,C000197253,112.657551,-8.301897,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00048,C000197254,112.657416,-8.303664,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00049,C000197488,112.656621,-8.312595,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00050,C000197285,112.657327,-8.309995,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00051,C000197252,112.657333,-8.303593,GEDANGAN,GEDANGAN - 65178,Biweekly
Store 00052,C100270535,112.628841666666,-8.00463333333333,TIRTOYUDO,TLOGOSARI - 65182,Weekly
Store 00053,C100298947,112.801609,-8.228952,TIRTOYUDO,TIRTOYUDO - 65182,Monthly
Store 00054,C100335843,112.833895,-8.227667,TIRTOYUDO,TIRTOYUDO - 65182,Biweekly
Store 00055,C100294159,112.83388,-8.227665,TIRTOYUDO,TIRTOYUDO - 65182,Biweekly
Store 00056,C100272936,112.833901,-8.227683,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00057,C000489234,112.833799,-8.227742,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00058,C100144253,112.83379649,-8.228062,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00059,C100385437,112.83454,-8.227483,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00060,C100298948,112.834556,-8.227452,TIRTOYUDO,TIRTOYUDO - 65182,Monthly
Store 00061,C000199518,112.834006,-8.227682,TIRTOYUDO,TLOGOSARI - 65182,Biweekly
Store 00062,C100202350,112.8304149,-8.2024732,TIRTOYUDO,AMPELGADING - 65183,Biweekly
Store 00063,C100144252,112.83039048,-8.20249476,TIRTOYUDO,AMPELGADING - 65183,Biweekly
Store 00064,C100399415,112.830645,-8.20275166666666,TIRTOYUDO,AMPELGADING - 65183,Biweekly
Store 00065,C000465441,112.830398,-8.202389,TIRTOYUDO,AMPELGADING - 65183,Biweekly
Store 00066,C100144251,112.81322826,-8.23121755,TIRTOYUDO,TIRTOYUDO - 65182,Biweekly
Store 00067,C100232781,112.835263,-8.227526,TIRTOYUDO,TLOGOSARI - 65182,Monthly
Store 00068,C100298946,112.823317,-8.23055,TIRTOYUDO,TIRTOYUDO - 65182,Biweekly
